data entrega,producte,client,desti,pes,transportista
7/23/2023,producte1,client2,desti5,99,transportista2
11/25/2023,producte4,client5,desti4,86,transportista5
3/16/2024,producte6,client5,desti2,61,transportista4
10/31/2024,producte1,client6,desti5,75,transportista1
9/17/2022,producte6,client6,desti3,58,transportista1
1/16/2024,producte5,client5,desti2,53,transportista3
11/8/2023,producte3,client5,desti6,76,transportista1
8/18/2022,producte3,client1,desti5,88,transportista1
1/18/2023,producte1,client6,desti4,84,transportista5
7/8/2024,producte1,client2,desti2,87,transportista6
12/13/2023,producte6,client4,desti3,79,transportista5
7/5/2024,producte6,client2,desti3,74,transportista4
9/2/2024,producte1,client3,desti2,77,transportista4
8/23/2024,producte6,client2,desti3,94,transportista2
7/17/2023,producte5,client1,desti2,97,transportista6
4/8/2024,producte6,client1,desti,90,transportista6
11/17/2023,producte2,client5,desti3,68,transportista4
11/29/2022,producte4,client5,desti4,84,transportista2
11/27/2022,producte2,client5,desti5,70,transportista2
5/25/2023,producte5,client6,desti3,60,transportista1
9/7/2023,producte5,client3,desti2,92,transportista5
7/10/2023,producte3,client6,desti2,96,transportista2
3/7/2023,producte2,client1,desti2,79,transportista2
2/22/2023,producte6,client5,desti6,56,transportista2
3/22/2024,producte4,client2,desti3,99,transportista1
5/23/2022,producte6,client6,desti4,69,transportista1
1/31/2024,producte1,client1,desti,51,transportista5
7/22/2024,producte1,client4,desti2,50,transportista3
8/1/2024,producte6,client6,desti2,80,transportista5
7/20/2024,producte4,client6,desti6,64,transportista4
10/30/2023,producte6,client6,desti2,85,transportista6
2/10/2024,producte3,client2,desti3,95,transportista4
6/8/2023,producte1,client4,desti4,64,transportista4
1/14/2024,producte5,client6,desti3,80,transportista6
2/12/2024,producte6,client4,desti4,69,transportista6
8/31/2024,producte6,client6,desti,92,transportista5
8/23/2023,producte3,client1,desti,55,transportista5
9/6/2024,producte1,client3,desti6,77,transportista2
1/8/2023,producte6,client1,desti3,73,transportista1
2/12/2023,producte2,client5,desti,88,transportista3
12/24/2024,producte5,client6,desti,80,transportista5
9/28/2023,producte6,client4,desti6,53,transportista4
11/10/2024,producte3,client1,desti,68,transportista6
8/24/2022,producte2,client6,desti2,62,transportista3
6/10/2022,producte6,client2,desti5,92,transportista5
8/15/2022,producte3,client5,desti2,79,transportista3
7/20/2024,producte3,client3,desti,65,transportista4
3/20/2024,producte6,client5,desti2,51,transportista5
11/26/2022,producte3,client3,desti4,63,transportista3
2/5/2022,producte4,client1,desti6,84,transportista5
6/10/2024,producte1,client4,desti,53,transportista5
7/29/2022,producte6,client1,desti4,53,transportista1
6/7/2022,producte2,client4,desti5,84,transportista1
7/6/2024,producte3,client5,desti3,92,transportista6
8/27/2022,producte2,client3,desti4,88,transportista3
9/29/2023,producte5,client4,desti5,72,transportista1
12/13/2022,producte1,client4,desti3,61,transportista1
5/1/2023,producte5,client2,desti,72,transportista5
10/23/2022,producte5,client6,desti2,100,transportista2
9/17/2023,producte5,client6,desti4,93,transportista6
8/9/2023,producte2,client5,desti5,50,transportista6
6/15/2023,producte1,client6,desti4,62,transportista5
10/21/2024,producte1,client4,desti5,65,transportista1
5/3/2023,producte4,client3,desti6,84,transportista4
7/15/2022,producte6,client6,desti2,59,transportista5
4/2/2024,producte5,client1,desti2,53,transportista4
10/10/2023,producte6,client5,desti2,70,transportista6
1/14/2024,producte4,client1,desti6,72,transportista4
3/23/2024,producte6,client4,desti2,72,transportista5
3/10/2022,producte4,client6,desti2,54,transportista2
6/29/2024,producte6,client1,desti6,54,transportista4
3/30/2022,producte4,client1,desti6,94,transportista2
1/26/2024,producte1,client6,desti5,86,transportista4
6/22/2024,producte6,client3,desti,77,transportista5
12/6/2023,producte2,client6,desti4,81,transportista1
2/23/2023,producte1,client2,desti6,93,transportista1
1/27/2024,producte5,client5,desti3,91,transportista1
4/20/2023,producte6,client1,desti3,60,transportista2
4/17/2023,producte3,client2,desti6,93,transportista1
12/5/2022,producte4,client5,desti3,100,transportista5
6/13/2022,producte4,client4,desti6,98,transportista3
1/18/2022,producte6,client2,desti4,84,transportista4
8/30/2024,producte6,client1,desti4,54,transportista5
7/17/2024,producte5,client2,desti4,88,transportista3
2/22/2023,producte6,client5,desti5,90,transportista5
11/29/2024,producte4,client4,desti,92,transportista1
3/6/2024,producte4,client1,desti5,94,transportista2
6/13/2022,producte1,client6,desti3,77,transportista4
5/11/2024,producte4,client6,desti4,83,transportista5
8/20/2024,producte4,client3,desti,60,transportista1
8/6/2023,producte3,client3,desti6,60,transportista1
4/25/2023,producte2,client3,desti4,88,transportista6
10/28/2022,producte2,client2,desti3,92,transportista4
11/16/2023,producte6,client3,desti3,69,transportista3
8/17/2024,producte1,client5,desti,79,transportista6
7/27/2023,producte1,client2,desti6,83,transportista3
2/12/2023,producte4,client6,desti2,86,transportista3
5/10/2024,producte2,client4,desti3,56,transportista4
6/20/2024,producte3,client5,desti5,64,transportista6
3/26/2024,producte3,client5,desti5,94,transportista1
12/23/2023,producte5,client4,desti6,78,transportista6
3/13/2024,producte4,client3,desti6,76,transportista2
2/2/2022,producte1,client5,desti6,91,transportista6
10/5/2024,producte3,client1,desti,96,transportista3
2/18/2024,producte6,client1,desti6,70,transportista1
7/16/2023,producte3,client6,desti,96,transportista4
6/15/2023,producte6,client2,desti4,77,transportista1
5/30/2024,producte3,client6,desti3,94,transportista2
7/3/2024,producte2,client1,desti6,78,transportista6
8/26/2023,producte3,client1,desti2,100,transportista3
5/18/2023,producte4,client2,desti2,73,transportista6
11/25/2024,producte2,client2,desti2,62,transportista5
12/28/2024,producte3,client2,desti4,88,transportista1
5/28/2024,producte5,client6,desti2,91,transportista5
4/21/2022,producte2,client5,desti3,78,transportista6
4/6/2024,producte4,client5,desti4,94,transportista4
4/22/2023,producte6,client3,desti2,54,transportista2
3/26/2023,producte5,client3,desti2,88,transportista2
4/19/2022,producte2,client6,desti,85,transportista3
12/28/2023,producte1,client5,desti2,78,transportista6
2/24/2022,producte3,client1,desti6,79,transportista3
10/26/2023,producte4,client1,desti2,50,transportista1
5/22/2022,producte4,client3,desti,96,transportista2
7/5/2024,producte6,client5,desti6,100,transportista2
5/24/2024,producte1,client5,desti,94,transportista4
10/7/2023,producte5,client4,desti6,62,transportista1
2/6/2024,producte5,client4,desti6,75,transportista2
8/10/2022,producte5,client3,desti6,65,transportista1
7/19/2024,producte4,client5,desti4,85,transportista2
11/12/2023,producte3,client3,desti3,97,transportista5
1/30/2024,producte4,client3,desti,81,transportista5
9/4/2024,producte4,client6,desti2,96,transportista6
11/14/2024,producte1,client2,desti6,76,transportista5
6/2/2023,producte3,client3,desti6,85,transportista6
1/26/2023,producte4,client2,desti2,100,transportista6
3/20/2022,producte5,client6,desti,94,transportista2
1/20/2024,producte2,client2,desti2,95,transportista4
11/16/2024,producte5,client3,desti4,64,transportista1
10/9/2023,producte3,client2,desti6,56,transportista2
12/14/2022,producte6,client2,desti2,81,transportista2
9/29/2022,producte6,client3,desti,85,transportista5
8/5/2023,producte5,client2,desti5,83,transportista1
11/22/2023,producte2,client3,desti3,69,transportista2
1/13/2023,producte4,client1,desti4,56,transportista2
4/11/2023,producte6,client2,desti6,63,transportista4
8/28/2024,producte2,client2,desti3,69,transportista4
11/24/2022,producte3,client3,desti2,62,transportista4
9/11/2022,producte6,client4,desti4,81,transportista6
1/6/2023,producte2,client5,desti5,100,transportista4
4/3/2022,producte6,client5,desti6,85,transportista1
10/29/2024,producte5,client4,desti,70,transportista5
3/10/2023,producte1,client1,desti2,81,transportista6
7/27/2023,producte6,client5,desti3,71,transportista1
8/3/2022,producte3,client6,desti4,72,transportista6
6/13/2023,producte3,client5,desti,61,transportista2
1/22/2023,producte2,client4,desti6,52,transportista2
11/19/2023,producte6,client2,desti4,63,transportista3
12/27/2024,producte3,client1,desti5,85,transportista6
8/28/2024,producte3,client2,desti2,80,transportista5
12/2/2022,producte2,client2,desti2,75,transportista2
10/22/2022,producte5,client1,desti4,50,transportista6
5/22/2024,producte6,client4,desti4,67,transportista5
6/23/2024,producte3,client3,desti2,98,transportista3
12/20/2023,producte6,client3,desti3,100,transportista1
7/20/2023,producte6,client5,desti,61,transportista4
10/24/2022,producte6,client4,desti2,62,transportista3
8/12/2022,producte3,client3,desti4,89,transportista1
1/23/2022,producte5,client4,desti5,55,transportista2
7/23/2023,producte3,client6,desti2,52,transportista6
7/20/2023,producte4,client2,desti3,81,transportista5
8/29/2023,producte4,client5,desti2,57,transportista1
11/22/2022,producte2,client4,desti2,81,transportista6
2/11/2023,producte3,client6,desti3,74,transportista4
11/17/2024,producte1,client6,desti3,84,transportista3
10/27/2023,producte3,client5,desti3,57,transportista5
1/1/2022,producte4,client1,desti4,66,transportista5
2/17/2022,producte4,client2,desti3,56,transportista4
3/15/2023,producte2,client2,desti5,100,transportista1
12/2/2023,producte4,client5,desti4,72,transportista5
2/24/2024,producte5,client6,desti2,80,transportista2
4/7/2024,producte5,client3,desti6,58,transportista5
9/16/2023,producte2,client6,desti4,63,transportista2
5/1/2024,producte3,client2,desti2,77,transportista6
9/30/2023,producte2,client4,desti4,87,transportista1
2/23/2022,producte1,client2,desti2,88,transportista6
5/21/2023,producte2,client3,desti4,68,transportista5
7/1/2023,producte6,client5,desti2,57,transportista5
10/30/2022,producte3,client5,desti6,85,transportista3
9/13/2023,producte5,client4,desti2,53,transportista5
12/21/2023,producte2,client2,desti,69,transportista1
6/9/2022,producte1,client6,desti2,63,transportista4
10/3/2023,producte3,client2,desti3,87,transportista6
11/24/2024,producte1,client1,desti2,83,transportista6
9/2/2023,producte1,client4,desti,58,transportista6
2/23/2022,producte1,client6,desti,90,transportista3
8/5/2023,producte5,client3,desti2,82,transportista3
1/30/2024,producte2,client4,desti4,57,transportista5
7/24/2024,producte3,client4,desti6,63,transportista6
9/22/2023,producte2,client4,desti2,85,transportista2
7/24/2022,producte4,client2,desti,84,transportista3
12/13/2024,producte4,client3,desti,87,transportista4
5/9/2022,producte2,client5,desti2,71,transportista4
7/13/2023,producte5,client1,desti2,51,transportista5
1/2/2024,producte2,client5,desti,79,transportista1
5/24/2023,producte1,client1,desti4,66,transportista3
10/25/2024,producte2,client4,desti2,51,transportista6
1/12/2023,producte3,client6,desti4,83,transportista6
3/18/2022,producte3,client5,desti5,82,transportista1
5/12/2024,producte1,client4,desti5,82,transportista5
6/24/2023,producte4,client4,desti6,56,transportista2
2/29/2024,producte4,client4,desti5,78,transportista3
11/23/2023,producte6,client2,desti4,65,transportista6
6/14/2024,producte5,client5,desti4,87,transportista3
10/7/2024,producte1,client4,desti4,93,transportista1
12/12/2022,producte3,client2,desti3,89,transportista3
6/1/2022,producte1,client5,desti,89,transportista2
8/8/2024,producte6,client3,desti5,97,transportista3
8/1/2024,producte6,client2,desti4,53,transportista4
9/3/2023,producte1,client1,desti6,64,transportista3
5/30/2023,producte4,client4,desti6,76,transportista5
10/20/2024,producte2,client3,desti3,53,transportista5
1/30/2022,producte5,client1,desti5,85,transportista4
8/4/2023,producte2,client5,desti4,61,transportista2
2/25/2024,producte6,client4,desti2,68,transportista4
8/16/2022,producte1,client2,desti3,60,transportista6
6/30/2022,producte1,client4,desti3,72,transportista1
11/8/2023,producte1,client4,desti4,56,transportista2
2/12/2024,producte5,client3,desti6,74,transportista1
5/28/2024,producte3,client6,desti4,55,transportista4
8/22/2024,producte2,client3,desti5,54,transportista3
6/10/2024,producte6,client6,desti3,60,transportista4
1/15/2023,producte1,client3,desti5,78,transportista2
3/31/2023,producte3,client4,desti,92,transportista2
10/30/2024,producte5,client3,desti4,64,transportista4
2/13/2022,producte4,client4,desti4,79,transportista6
9/25/2022,producte4,client4,desti6,96,transportista2
6/29/2022,producte5,client3,desti2,68,transportista1
3/15/2022,producte5,client6,desti2,89,transportista5
8/25/2023,producte6,client1,desti5,84,transportista1
9/29/2023,producte2,client1,desti6,57,transportista1
4/30/2023,producte3,client4,desti5,96,transportista1
8/24/2024,producte1,client3,desti5,66,transportista5
9/5/2024,producte1,client4,desti2,66,transportista5
12/6/2023,producte6,client6,desti6,74,transportista5
3/14/2024,producte1,client3,desti5,92,transportista6
11/18/2023,producte1,client1,desti6,89,transportista5
7/13/2023,producte1,client1,desti6,53,transportista3
8/7/2023,producte6,client6,desti3,73,transportista3
9/1/2023,producte5,client2,desti3,100,transportista4
7/5/2023,producte1,client6,desti3,61,transportista6
7/15/2022,producte5,client4,desti6,54,transportista6
11/4/2022,producte4,client6,desti6,87,transportista2
2/16/2023,producte3,client5,desti4,56,transportista5
8/10/2022,producte5,client5,desti2,51,transportista3
2/21/2022,producte1,client2,desti,77,transportista5
5/27/2022,producte1,client6,desti2,74,transportista4
9/10/2024,producte3,client1,desti5,94,transportista5
10/15/2023,producte2,client6,desti5,97,transportista1
4/22/2024,producte5,client2,desti6,62,transportista1
5/8/2024,producte1,client3,desti,95,transportista6
5/19/2023,producte1,client5,desti5,70,transportista6
6/4/2022,producte4,client6,desti,83,transportista6
3/18/2024,producte5,client5,desti,82,transportista4
7/20/2022,producte2,client3,desti4,90,transportista5
10/18/2023,producte6,client2,desti6,81,transportista6
12/14/2022,producte1,client1,desti3,86,transportista6
8/26/2022,producte1,client6,desti6,68,transportista6
2/18/2022,producte3,client2,desti5,55,transportista1
2/19/2023,producte3,client6,desti6,86,transportista2
11/30/2023,producte2,client1,desti3,85,transportista3
9/8/2024,producte6,client6,desti4,90,transportista2
10/11/2023,producte2,client5,desti6,92,transportista3
12/20/2024,producte1,client3,desti4,67,transportista3
12/12/2024,producte5,client3,desti5,81,transportista4
6/9/2022,producte1,client1,desti2,95,transportista3
6/30/2022,producte1,client3,desti6,65,transportista4
12/20/2024,producte1,client5,desti5,66,transportista1
6/21/2023,producte2,client5,desti6,97,transportista2
5/23/2024,producte4,client2,desti2,87,transportista4
1/14/2022,producte4,client5,desti6,74,transportista4
9/22/2024,producte1,client1,desti5,91,transportista4
9/3/2023,producte3,client2,desti5,88,transportista5
10/21/2023,producte5,client1,desti,75,transportista1
6/28/2024,producte6,client2,desti5,58,transportista1
1/27/2024,producte4,client5,desti2,91,transportista4
11/27/2022,producte5,client2,desti6,97,transportista3
3/10/2023,producte4,client2,desti,85,transportista3
2/24/2022,producte4,client5,desti6,68,transportista6
12/26/2022,producte4,client2,desti5,68,transportista3
2/12/2023,producte4,client2,desti6,75,transportista2
10/19/2023,producte6,client3,desti2,78,transportista1
5/14/2024,producte5,client4,desti3,85,transportista5
1/6/2023,producte3,client1,desti6,69,transportista6
11/27/2024,producte4,client3,desti3,87,transportista4
2/12/2022,producte1,client4,desti3,77,transportista6
1/31/2022,producte1,client1,desti5,64,transportista2
6/6/2023,producte1,client2,desti6,70,transportista2
12/17/2024,producte5,client4,desti5,50,transportista4
9/16/2023,producte2,client1,desti,75,transportista2
1/22/2022,producte6,client4,desti4,86,transportista2
1/15/2023,producte3,client1,desti2,55,transportista3
8/13/2023,producte2,client4,desti,52,transportista4
5/17/2023,producte2,client1,desti4,55,transportista1
6/29/2023,producte4,client6,desti2,96,transportista2
2/7/2023,producte5,client6,desti2,73,transportista6
11/3/2023,producte2,client4,desti2,70,transportista5
5/5/2022,producte4,client4,desti5,70,transportista6
10/17/2022,producte5,client2,desti4,62,transportista3
12/9/2022,producte6,client4,desti,73,transportista5
5/10/2024,producte2,client6,desti4,70,transportista3
6/27/2024,producte6,client3,desti5,56,transportista3
9/21/2023,producte4,client2,desti5,98,transportista5
2/12/2022,producte3,client6,desti3,86,transportista3
9/13/2022,producte3,client2,desti3,65,transportista2
8/10/2024,producte4,client4,desti2,68,transportista5
4/26/2022,producte2,client6,desti2,80,transportista3
9/4/2024,producte4,client6,desti4,93,transportista5
8/7/2024,producte6,client4,desti6,65,transportista2
9/22/2024,producte6,client3,desti5,100,transportista5
3/9/2023,producte3,client2,desti,72,transportista5
10/16/2023,producte4,client4,desti5,52,transportista2
11/22/2022,producte5,client5,desti2,77,transportista1
5/16/2024,producte3,client6,desti,71,transportista1
7/20/2022,producte1,client6,desti,54,transportista6
5/3/2023,producte6,client4,desti5,81,transportista6
4/19/2023,producte4,client1,desti5,64,transportista2
3/6/2023,producte5,client2,desti5,83,transportista3
3/23/2022,producte6,client1,desti,95,transportista6
11/17/2022,producte6,client1,desti,90,transportista6
2/10/2022,producte1,client6,desti,95,transportista2
8/31/2024,producte1,client5,desti4,95,transportista5
2/8/2024,producte5,client5,desti3,83,transportista3
2/19/2022,producte3,client1,desti6,100,transportista4
9/21/2022,producte4,client3,desti3,63,transportista4
4/24/2023,producte1,client3,desti4,85,transportista1
8/20/2022,producte1,client2,desti5,72,transportista3
3/28/2023,producte1,client5,desti,50,transportista3
12/11/2024,producte4,client1,desti2,57,transportista5
8/8/2024,producte2,client1,desti4,98,transportista4
9/6/2022,producte2,client1,desti5,79,transportista4
10/14/2023,producte3,client5,desti,70,transportista4
11/15/2022,producte1,client4,desti4,95,transportista5
5/18/2022,producte2,client6,desti6,74,transportista1
12/4/2022,producte1,client5,desti3,58,transportista4
9/30/2024,producte2,client4,desti2,54,transportista2
8/15/2024,producte2,client1,desti2,55,transportista1
3/24/2022,producte4,client3,desti,52,transportista3
4/26/2023,producte1,client6,desti3,51,transportista6
2/12/2023,producte1,client5,desti6,99,transportista2
7/25/2024,producte1,client5,desti3,60,transportista5
5/23/2024,producte3,client1,desti4,53,transportista3
9/2/2022,producte3,client2,desti4,64,transportista6
10/4/2023,producte6,client1,desti2,94,transportista3
7/30/2023,producte3,client5,desti3,90,transportista4
10/8/2023,producte6,client6,desti6,81,transportista4
7/1/2024,producte2,client2,desti3,69,transportista4
2/24/2023,producte1,client5,desti,72,transportista1
6/18/2024,producte1,client3,desti6,85,transportista4
1/23/2023,producte5,client6,desti6,60,transportista2
11/7/2024,producte4,client2,desti2,83,transportista6
3/1/2023,producte6,client2,desti5,96,transportista3
3/10/2022,producte5,client2,desti3,92,transportista5
7/25/2022,producte3,client4,desti,97,transportista1
3/17/2023,producte5,client1,desti2,72,transportista5
3/21/2024,producte4,client4,desti6,65,transportista1
8/18/2023,producte2,client5,desti2,99,transportista5
1/16/2022,producte6,client5,desti3,75,transportista2
4/7/2022,producte5,client3,desti,89,transportista3
8/30/2023,producte2,client3,desti6,74,transportista6
7/20/2022,producte6,client5,desti,100,transportista3
12/26/2023,producte4,client3,desti,63,transportista5
3/19/2022,producte2,client1,desti5,100,transportista4
3/24/2023,producte1,client6,desti6,77,transportista3
2/28/2023,producte6,client4,desti2,69,transportista5
4/1/2022,producte3,client1,desti2,54,transportista2
7/2/2022,producte1,client6,desti4,99,transportista4
1/30/2023,producte5,client5,desti3,57,transportista5
3/18/2024,producte5,client3,desti4,84,transportista2
6/15/2023,producte5,client1,desti,82,transportista2
10/20/2022,producte4,client3,desti5,95,transportista5
5/29/2022,producte2,client2,desti6,75,transportista2
5/14/2024,producte4,client5,desti2,59,transportista5
8/5/2023,producte5,client1,desti,94,transportista5
9/27/2024,producte3,client2,desti,79,transportista2
5/29/2023,producte4,client2,desti3,99,transportista1
3/24/2022,producte5,client1,desti2,61,transportista1
11/27/2022,producte6,client1,desti6,74,transportista2
4/18/2023,producte1,client5,desti6,83,transportista5
7/28/2024,producte6,client4,desti6,79,transportista3
1/6/2024,producte1,client5,desti,84,transportista1
4/11/2022,producte4,client2,desti,61,transportista3
8/9/2024,producte3,client5,desti,56,transportista1
4/20/2023,producte4,client3,desti3,60,transportista5
8/7/2023,producte4,client6,desti2,58,transportista1
3/11/2023,producte3,client2,desti2,84,transportista5
11/19/2023,producte3,client4,desti2,93,transportista1
9/28/2024,producte6,client6,desti5,96,transportista3
9/23/2024,producte5,client3,desti6,56,transportista2
11/30/2024,producte1,client2,desti4,84,transportista2
1/9/2023,producte2,client5,desti3,61,transportista1
10/2/2022,producte2,client4,desti4,75,transportista4
4/17/2023,producte4,client4,desti5,62,transportista3
3/3/2023,producte2,client1,desti,91,transportista3
8/22/2023,producte5,client5,desti,87,transportista6
9/17/2022,producte1,client4,desti2,59,transportista5
8/9/2022,producte5,client5,desti,58,transportista2
5/12/2022,producte4,client1,desti6,95,transportista1
3/10/2022,producte6,client5,desti5,86,transportista4
5/9/2024,producte2,client4,desti5,66,transportista1
8/14/2022,producte4,client6,desti2,55,transportista1
9/15/2022,producte1,client3,desti2,74,transportista6
6/9/2023,producte2,client2,desti2,80,transportista4
9/28/2023,producte4,client4,desti5,67,transportista4
3/22/2023,producte6,client5,desti4,68,transportista3
5/13/2023,producte3,client2,desti4,84,transportista5
11/12/2022,producte6,client2,desti5,96,transportista4
5/7/2022,producte2,client1,desti5,89,transportista6
8/6/2022,producte2,client6,desti5,95,transportista2
8/31/2024,producte5,client5,desti5,85,transportista4
1/16/2022,producte2,client3,desti6,81,transportista5
3/28/2024,producte4,client1,desti4,99,transportista4
1/18/2024,producte6,client1,desti,79,transportista1
4/3/2023,producte2,client2,desti,75,transportista3
4/2/2022,producte5,client6,desti,55,transportista2
10/29/2022,producte1,client2,desti,58,transportista4
1/14/2022,producte3,client6,desti6,76,transportista1
1/6/2024,producte1,client2,desti,77,transportista6
11/2/2022,producte6,client4,desti2,67,transportista1
2/19/2022,producte2,client1,desti2,73,transportista3
1/6/2022,producte1,client5,desti5,67,transportista3
1/20/2024,producte1,client3,desti,58,transportista5
11/9/2024,producte2,client2,desti5,53,transportista2
2/5/2023,producte5,client1,desti5,59,transportista1
2/19/2024,producte6,client1,desti2,92,transportista5
6/26/2024,producte1,client1,desti,53,transportista3
10/20/2022,producte5,client6,desti5,76,transportista4
5/14/2023,producte2,client2,desti4,55,transportista5
9/19/2022,producte1,client4,desti5,99,transportista4
12/27/2022,producte6,client2,desti3,54,transportista4
9/5/2024,producte6,client6,desti2,98,transportista6
10/27/2022,producte4,client6,desti5,56,transportista1
10/14/2024,producte1,client5,desti2,54,transportista6
8/16/2023,producte4,client2,desti4,95,transportista4
12/10/2023,producte2,client5,desti5,56,transportista5
6/21/2023,producte2,client3,desti3,73,transportista3
10/11/2024,producte1,client6,desti,82,transportista5
1/27/2023,producte4,client1,desti4,87,transportista3
12/2/2023,producte3,client6,desti4,60,transportista5
9/7/2024,producte3,client6,desti,99,transportista3
8/5/2023,producte2,client2,desti5,82,transportista2
4/19/2022,producte6,client6,desti6,54,transportista6
9/23/2024,producte6,client3,desti,56,transportista2
1/19/2024,producte1,client5,desti3,63,transportista1
3/21/2023,producte6,client3,desti,55,transportista2
10/29/2024,producte5,client2,desti4,94,transportista1
11/29/2023,producte3,client5,desti5,85,transportista6
11/18/2024,producte1,client6,desti4,53,transportista2
5/31/2024,producte3,client3,desti,67,transportista2
10/2/2024,producte2,client2,desti3,91,transportista3
2/14/2022,producte4,client5,desti2,63,transportista5
3/24/2022,producte1,client6,desti,65,transportista2
4/6/2023,producte3,client3,desti,58,transportista5
1/22/2024,producte5,client4,desti4,64,transportista2
10/4/2024,producte3,client6,desti5,54,transportista2
